Compound;FC ([BlancoSurrogados] vs [Control]);Log FC ([BlancoSurrogados] vs [Control]);FC (abs) ([BlancoSurrogados] vs [Control]);Regulation ([BlancoSurrogados] vs [Control]);FC ([ControlSurrogados] vs [Control]);Log FC ([ControlSurrogados] vs [Control]);FC (abs) ([ControlSurrogados] vs [Control]);Regulation ([ControlSurrogados] vs [Control]);FC ([Disolventes] vs [Control]);Log FC ([Disolventes] vs [Control]);FC (abs) ([Disolventes] vs [Control]);Regulation ([Disolventes] vs [Control]);FC ([Docusato] vs [Control]);Log FC ([Docusato] vs [Control]);FC (abs) ([Docusato] vs [Control]);Regulation ([Docusato] vs [Control]);FC ([QC] vs [Control]);Log FC ([QC] vs [Control]);FC (abs) ([QC] vs [Control]);Regulation ([QC] vs [Control]);FC ([Tetra+Docu] vs [Control]);Log FC ([Tetra+Docu] vs [Control]);FC (abs) ([Tetra+Docu] vs [Control]);Regulation ([Tetra+Docu] vs [Control]);FC ([Tetraconazol] vs [Control]);Log FC ([Tetraconazol] vs [Control]);FC (abs) ([Tetraconazol] vs [Control]);Regulation ([Tetraconazol] vs [Control]);BLANCOSURRO1_1: Log2(normalized);BLANCOSURRO1_1_neg: Log2(normalized);BLANCOSURRO1_2: Log2(normalized);BLANCOSURRO1_2_neg: Log2(normalized);BLANCOSURRO1_3: Log2(normalized);BLANCOSURRO1_3_neg: Log2(normalized);BLANCOSURRO2_1: Log2(normalized);BLANCOSURRO2_1_neg: Log2(normalized);BLANCOSURRO2_2: Log2(normalized);BLANCOSURRO2_2_neg: Log2(normalized);BLANCOSURRO2_3: Log2(normalized);BLANCOSURRO2_3_neg: Log2(normalized);BLANCOSURRO3_1: Log2(normalized);BLANCOSURRO3_1_neg: Log2(normalized);BLANCOSURRO3_2: Log2(normalized);BLANCOSURRO3_2_neg: Log2(normalized);C54_1_1: Log2(normalized);C54_1_1_neg: Log2(normalized);C54_1_2: Log2(normalized);C54_1_2_neg: Log2(normalized);C54_2_1: Log2(normalized);C54_2_1_neg: Log2(normalized);C54_2_2: Log2(normalized);C54_2_2_neg: Log2(normalized);ControlSurro_1: Log2(normalized);ControlSurro_1_neg: Log2(normalized);ControlSurro_2: Log2(normalized);ControlSurro_2_neg: Log2(normalized);ControlSurro_3: Log2(normalized);ControlSurro_3_neg: Log2(normalized);ControlSurro_4: Log2(normalized);ControlSurro_4_neg: Log2(normalized);ControlSurro_5: Log2(normalized);ControlSurro_5_neg: Log2(normalized);ControlSurro_7: Log2(normalized);ControlSurro_7_neg: Log2(normalized);ControlSurro_8: Log2(normalized);ControlSurro_8_neg: Log2(normalized);ControlSurro_9: Log2(normalized);ControlSurro_9_neg: Log2(normalized);ControlSurro_10: Log2(normalized);ControlSurro_10_neg: Log2(normalized);Disolv_1: Log2(normalized);Disolv_1_neg: Log2(normalized);Disolv_2: Log2(normalized);Disolv_2_neg: Log2(normalized);Disolv_3: Log2(normalized);Disolv_3_neg: Log2(normalized);Disolv_4: Log2(normalized);Disolv_4_neg: Log2(normalized);Disolv_5: Log2(normalized);Disolv_5_neg: Log2(normalized);Disolv_7: Log2(normalized);Disolv_7_neg: Log2(normalized);Disolv_8: Log2(normalized);Disolv_8_neg: Log2(normalized);Disolv_9: Log2(normalized);Disolv_9_neg: Log2(normalized);Disolv_10: Log2(normalized);Disolv_10_neg: Log2(normalized);D54_1_1: Log2(normalized);D54_1_1_neg: Log2(normalized);D54_1_2: Log2(normalized);D54_1_2_neg: Log2(normalized);D54_2_1: Log2(normalized);D54_2_1_neg: Log2(normalized);D54_2_2: Log2(normalized);D54_2_2_neg: Log2(normalized);D54_3_1: Log2(normalized);D54_3_1_neg: Log2(normalized);D54_3_2: Log2(normalized);D54_3_2_neg: Log2(normalized);QCTODOS1_1: Log2(normalized);QCTODOS1_1_neg: Log2(normalized);QCTODOS1_2: Log2(normalized);QCTODOS1_2_neg: Log2(normalized);QCTODOS1_3: Log2(normalized);QCTODOS1_3_neg: Log2(normalized);QCTODOS2_1: Log2(normalized);QCTODOS2_1_neg: Log2(normalized);QCTODOS2_2: Log2(normalized);QCTODOS2_2_neg: Log2(normalized);QCTODOS2_3: Log2(normalized);QCTODOS2_3_neg: Log2(normalized);QCTODOS3_1: Log2(normalized);QCTODOS3_1_neg: Log2(normalized);QCTODOS3_2: Log2(normalized);QCTODOS3_2_neg: Log2(normalized);TD54_1_1: Log2(normalized);TD54_1_1_neg: Log2(normalized);TD54_1_2: Log2(normalized);TD54_1_2_neg: Log2(normalized);TD54_2_1: Log2(normalized);TD54_2_1_neg: Log2(normalized);TD54_2_2: Log2(normalized);TD54_2_2_neg: Log2(normalized);T54_1_1: Log2(normalized);T54_1_1_neg: Log2(normalized);T54_1_2: Log2(normalized);T54_1_2_neg: Log2(normalized);T54_2_1: Log2(normalized);T54_2_1_neg: Log2(normalized);T54_2_2: Log2(normalized);T54_2_2_neg: Log2(normalized);T54_3_1: Log2(normalized);T54_3_1_neg: Log2(normalized);T54_3_2: Log2(normalized);T54_3_2_neg: Log2(normalized);CAS Number;ChEBI ID;Compound Name;KEGG ID;Mass;Retention Time;HMP ID;Formula;Frequency;Ionization mode;LMP ID
C6 H8 O4;-335,33398;-8,389455;335,33398;down;-335,33398;-8,389455;335,33398;down;-335,33398;-8,389455;335,33398;down;1,1634418;0,21839905;1,1634418;up;1,2811522;0,3574419;1,2811522;up;1,1426743;0,19241428;1,1426743;up;1,176334;0,23429775;1,176334;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,764883;0;16,793463;0;16,73681;0;16,820478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,005487;0;17,891783;0;16,61969;0;16,603916;0;17,080837;0;17,09253;0;17,28974;0;17,467136;0;17,571487;0;17,548777;0;17,510277;0;17,49219;0;17,581547;0;17,489204;0;16,579184;0;16,521585;0;17,819767;0;17,734419;0;17,269957;0;17,298054;0;17,051655;0;17,014816;0;17,41323;0;17,43732;0;;;C6 H8 O4;;144,042;1,2630004;;C6 H8 O4;28;Esi+;
beta-D-Fructofuranosyl-alpha-D-mannopyranoside Esi+1.2609999;-551,69464;-9,107726;551,69464;down;-551,69464;-9,107726;551,69464;down;-551,69464;-9,107726;551,69464;down;-1,0151716;-0,021723747;1,0151716;down;-1,1263466;-0,17165089;1,1263466;down;-1,0425708;-0,060145378;1,0425708;down;-1,055932;-0,07851696;1,055932;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,292528;0;18,07108;0;18,360783;0;18,137417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,215467;0;17,92169;0;18,3456;0;18,130957;0;18,337683;0;18,080626;0;17,931978;0;17,87929;0;17,756107;0;18,081806;0;17,798662;0;17,761356;0;18,00563;0;17,762383;0;18,347742;0;18,039062;0;18,13972;0;17,854126;0;18,240562;0;17,920359;0;18,11687;0;17,828539;0;18,252005;0;17,99217;0;;;beta-D-Fructofuranosyl-alpha-D-mannopyranoside Esi+1.2609999;C18068;342,1152;1,2609999;;C12 H22 O11;28;Esi+;
beta-D-Fructofuranosyl-alpha-D-mannopyranoside Esi+1.2900006;-922,5965;-9,849556;922,5965;down;-566,7948;-9,146683;566,7948;down;-922,5965;-9,849556;922,5965;down;-1,0480413;-0,06769562;1,0480413;down;-1,1876359;-0,24809265;1,1876359;down;-1,0332031;-0,04712391;1,0332031;down;-1,0020063;-0,002891541;1,0020063;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,077766;0;19,368828;0;20,053526;0;19,29633;0;0;0;0;0;12,651725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19,830093;0;19,278725;0;19,790655;0;19,198462;0;19,912045;0;19,372345;0;19,94715;0;19,059315;0;18,910666;0;19,512518;0;18,987558;0;18,947432;0;19,33367;0;18,925106;0;19,878477;0;19,279463;0;19,868505;0;19,393013;0;19,943352;0;19,288525;0;19,981705;0;19,413692;0;20,04059;0;19,492107;0;;;beta-D-Fructofuranosyl-alpha-D-mannopyranoside Esi+1.2900006;C18068;359,1421;1,2900006;;C12 H22 O11;29;Esi+;
C22 H28 N3 O5;-20,384012;-4,349366;20,384012;down;-131,15396;-7,0351176;131,15396;down;-131,15396;-7,0351176;131,15396;down;1,5109572;0,5954628;1,5109572;up;2,9590275;1,5651231;2,9590275;up;1,17013;0,22666883;1,17013;up;-1,174762;-0,23236847;1,174762;down;0;0;13,912233;0;13,718961;0;15,340823;0;0;0;0;0;0;0;0;0;13,84343;0;13,993912;0;14,104517;0;14,339086;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,247371;0;15,223436;0;16,643618;0;16,636398;0;13,817283;0;13,998856;0;17,168673;0;16,746319;0;17,057907;0;17,969898;0;17,348495;0;17,17992;0;17,03819;0;17,09445;0;14,252149;0;14,214168;0;14,797459;0;14,830515;0;13,8896;0;14,156636;0;13,066258;0;13,370006;0;13,649144;0;13,50134;0;;;C22 H28 N3 O5;;414,202;14,171998;;C22 H28 N3 O5;31;Esi+;
C15 H19 N O4;-1;0;1;down;-1;0;1;down;-1;0;1;down;-1;0;1;down;341,5048;8,415762;341,5048;up;-1;0;1;down;-1;0;1;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,477427;0;16,356726;0;16,280046;0;17,705841;0;17,410477;0;17,322412;0;16,645784;0;16,45348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;C15 H19 N O4;;277,1321;12,271;;C15 H19 N O4;8;Esi+;
(1S,2R)-1-hydroxypropane-1,2,3-tricarboxylate;-441,47418;-8,786185;441,47418;down;-441,47418;-8,786185;441,47418;down;-441,47418;-8,786185;441,47418;down;1,2029246;0,26654625;1,2029246;up;1,3265672;0,40769768;1,3265672;up;1,0668808;0,09339905;1,0668808;up;1,0909216;0,12554741;1,0909216;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,573322;0;17,398653;0;17,7474;0;17,570108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19,21863;0;19,013037;0;17,361773;0;17,312103;0;17,979776;0;17,74746;0;18,406881;0;18,257742;0;18,231653;0;18,567114;0;18,406446;0;18,342348;0;18,555008;0;18,334932;0;17,094963;0;16,753374;0;18,701786;0;18,486555;0;18,27746;0;18,046389;0;17,529903;0;17,239525;0;18,070398;0;17,77712;0;;;(1S,2R)-1-hydroxypropane-1,2,3-tricarboxylate;;192,0269;1,5670003;;C6 H8 O7;28;Esi+;
C6 H6 O3;-211,58302;-7,72508;211,58302;down;-211,58302;-7,72508;211,58302;down;-211,58302;-7,72508;211,58302;down;-2,0124369;-1,0089436;2,0124369;down;1,4255644;0,51153326;1,4255644;up;1,1885929;0,2492547;1,1885929;up;1,2362746;0,30599928;1,2362746;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,355523;0;15,571753;0;15,31515;0;15,558211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,912632;0;16,82064;0;0;0;15,226413;0;15,856718;0;15,77723;0;16,18795;0;16,463844;0;16,564089;0;16,566961;0;16,490429;0;16,437378;0;16,589958;0;16,4852;0;15,129886;0;15,230283;0;16,790297;0;16,644209;0;16,149488;0;16,130228;0;15,788235;0;15,844804;0;16,164494;0;16,295698;0;;;C6 H6 O3;;126,0319;1,2630004;;C6 H6 O3;27;Esi+;
C24 H42 N20 O4;-112,95523;-6,8196073;112,95523;down;-112,95523;-6,8196073;112,95523;down;-112,95523;-6,8196073;112,95523;down;1,0155811;0,022305489;1,0155811;up;1,3341362;0,41590595;1,3341362;up;-1,0763457;-0,10614157;1,0763457;down;-1,0471867;-0,06651878;1,0471867;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,481673;0;13,499099;0;13,753218;0;13,822869;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,623081;0;14,495294;0;13,065584;0;13,045076;0;13,34693;0;13,526989;0;14,208311;0;14,398343;0;14,417325;0;14,629129;0;14,561885;0;14,482619;0;14,648863;0;14,421736;0;12,446566;0;12,500593;0;14,310968;0;14,4496;0;13,703038;0;13,791366;0;13,119266;0;12,946723;0;13,624339;0;13,852334;0;;;C24 H42 N20 O4;;674,3663;9,645997;;C24 H42 N20 O4;28;Esi+;
C20 H36 N23 O2;-100,88461;-6,6565623;100,88461;down;-100,88461;-6,6565623;100,88461;down;-100,88461;-6,6565623;100,88461;down;1,0509915;0,07175112;1,0509915;up;1,4492524;0,53530884;1,4492524;up;-8,589771;-3,1026196;8,589771;down;1,0128508;0,01842165;1,0128508;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,11423;0;13,331057;0;13,267811;0;13,539402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,529492;0;14,490412;0;12,512247;0;12,688031;0;13,299351;0;13,220226;0;14,151016;0;14,324181;0;14,348245;0;14,514159;0;14,435866;0;14,392988;0;14,505874;0;14,397608;0;0;0;0;0;14,25724;0;14,174301;0;13,587309;0;13,751754;0;12,725153;0;12,889884;0;13,552429;0;13,593275;0;;;C20 H36 N23 O2;;630,3401;9,462002;;C20 H36 N23 O2;26;Esi+;
C19 H21 N10 O3 S Esi+10.436002;-229,78632;-7,844149;229,78632;down;-229,78632;-7,844149;229,78632;down;-229,78632;-7,844149;229,78632;down;1,5687793;0,64964247;1,5687793;up;3,3310492;1,7359767;3,3310492;up;2,2219236;1,1518092;2,2219236;up;2,035569;1,0254321;2,035569;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,203653;0;15,127269;0;16,216291;0;15,205983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19,15089;0;20,076092;0;13,682556;0;14,503515;0;17,405931;0;17,106512;0;18,79267;0;18,765697;0;19,083967;0;19,53516;0;19,196583;0;19,295324;0;19,350168;0;19,262455;0;16,388622;0;16,501465;0;19,579885;0;19,497694;0;19,33158;0;18,956514;0;17,777506;0;17,752987;0;16,81842;0;15,797966;0;;;C19 H21 N10 O3 S Esi+10.436002;;469,1507;10,436002;;C19 H21 N10 O3 S;28;Esi+;
C22 H42 N20 O3;-120,17554;-6,9089994;120,17554;down;-120,17554;-6,9089994;120,17554;down;-120,17554;-6,9089994;120,17554;down;1,01506;0,02156496;1,01506;up;1,2939513;0,37178326;1,2939513;up;-1,1072927;-0,14703655;1,1072927;down;-1,0615326;-0,08614874;1,0615326;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,4743395;0;13,71113;0;13,946815;0;14,139711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,630949;0;14,620105;0;13,184566;0;13,375447;0;13,716819;0;13,638888;0;14,172663;0;14,67132;0;14,462182;0;14,641487;0;14,652117;0;14,568906;0;14,738356;0;14,585491;0;12,459432;0;12,897279;0;14,315221;0;14,423772;0;13,788718;0;13,869787;0;13,296056;0;13,158136;0;13,806952;0;13,954559;0;;;C22 H42 N20 O3;;634,3723;9,703002;;C22 H42 N20 O3;28;Esi+;
C12 H17 O6;-607,21564;-9,246065;607,21564;down;-607,21564;-9,246065;607,21564;down;-607,21564;-9,246065;607,21564;down;-1,1001965;-0,13776112;1,1001965;down;1,0896733;0,123895645;1,0896733;up;1,0046048;0,006628037;1,0046048;up;1,0512991;0,07217312;1,0512991;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,606297;0;18,473558;0;18,563799;0;18,324865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,2695;0;18,088104;0;18,399378;0;18,252106;0;18,23671;0;18,053846;0;18,808245;0;18,690134;0;18,69784;0;18,8379;0;18,686733;0;18,566622;0;18,881163;0;18,750736;0;18,383776;0;18,181963;0;18,794413;0;18,661396;0;18,951494;0;18,723475;0;18,80636;0;18,564331;0;18,463951;0;18,309254;0;;;C12 H17 O6;;257,1024;1,4249996;;C12 H17 O6;28;Esi+;
C18 H36 N23 O;-109,48515;-6,7745914;109,48515;down;-109,48515;-6,7745914;109,48515;down;-109,48515;-6,7745914;109,48515;down;1,0314053;0,044611454;1,0314053;up;1,3825996;0,46738338;1,3825996;up;-9,171067;-3,1970897;9,171067;down;-1,0523201;-0,07357359;1,0523201;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,302069;0;13,523685;0;13,632882;0;13,738092;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,596947;0;14,639679;0;12,8241625;0;12,957464;0;13,351353;0;13,46084;0;14,138831;0;14,458791;0;14,491039;0;14,594209;0;14,53934;0;14,522827;0;14,630211;0;14,496354;0;0;0;0;0;14,29541;0;14,324603;0;13,483185;0;13,729408;0;12,742309;0;12,982815;0;13,738198;0;13,736296;0;;;C18 H36 N23 O;;590,346;9,518002;;C18 H36 N23 O;26;Esi+;
C24 H44 N23 O4;-122,230965;-6,933466;122,230965;down;-122,230965;-6,933466;122,230965;down;-122,230965;-6,933466;122,230965;down;-1,001453;-0,002094746;1,001453;down;1,2015791;0,26493168;1,2015791;up;-1,0325726;-0,04624319;1,0325726;down;-1,0508561;-0,07156515;1,0508561;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,620219;0;13,908674;0;13,932769;0;14,006063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,422656;0;14,330847;0;13,53479;0;13,6173525;0;13,739675;0;13,531138;0;14,179676;0;14,390303;0;14,283812;0;14,564268;0;14,467669;0;14,390774;0;14,542367;0;14,355488;0;13,298492;0;13,151493;0;14,323828;0;14,32397;0;13,840385;0;13,963709;0;13,449407;0;13,43632;0;13,769011;0;13,883979;0;;;C24 H44 N23 O4;;718,3925;9,819;;C24 H44 N23 O4;28;Esi+;
C8 H15 N4 O3;-175,54918;-7,4557314;175,54918;down;-175,54918;-7,4557314;175,54918;down;-175,54918;-7,4557314;175,54918;down;-4,968906;-2,3129282;4,968906;down;-1,6737571;-0,74309015;1,6737571;down;-4,442079;-2,151235;4,442079;down;-14,417285;-3,8497276;14,417285;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,903882;0;14,942652;0;15,004353;0;16,794962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,574001;0;0;0;16,807693;0;14,874022;0;16,457926;0;0;0;14,69903;0;15,916416;0;14,88841;0;15,810697;0;16,869822;0;14,209987;0;15,007904;0;13,0914345;0;15,525153;0;0;0;13,819381;0;0;0;16,279737;0;0;0;14,026524;0;0;0;12,965784;0;;;C8 H15 N4 O3;;215,114;1,4570003;;C8 H15 N4 O3;21;Esi+;
C18 H32 N23 O;-84,03557;-6,392928;84,03557;down;-84,03557;-6,392928;84,03557;down;-84,03557;-6,392928;84,03557;down;-1,7602212;-0,8157568;1,7602212;down;1,6055975;0,68311024;1,6055975;up;-7,365111;-2,8807073;7,365111;down;-1,9143212;-0,9368329;1,9143212;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,579081;0;12,883216;0;12,637077;0;13,044053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,479275;0;14,319954;0;0;0;12,329235;0;12,852335;0;12,945261;0;13,90407;0;14,067349;0;13,951467;0;14,343394;0;14,226637;0;14,112439;0;14,299924;0;14,311323;0;0;0;0;0;14,034541;0;14,063227;0;13,166791;0;13,340268;0;0;0;12,471929;0;13,134266;0;13,359886;0;;;C18 H32 N23 O;;586,3143;9,261997;;C18 H32 N23 O;24;Esi+;
C29 H52 N13 O4 S;-128,27855;-7,003136;128,27855;down;-128,27855;-7,003136;128,27855;down;-128,27855;-7,003136;128,27855;down;-1,0419866;-0,059336662;1,0419866;down;1,1354016;0,18320274;1,1354016;up;-1,1543188;-0,20704174;1,1543188;down;-1,1323484;-0,17931795;1,1323484;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,786473;0;13,989039;0;14,045845;0;14,203731;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,393122;0;14,391981;0;13,694249;0;13,598518;0;13,63186;0;13,61586;0;14,139152;0;14,284679;0;14,3952;0;14,496979;0;14,505688;0;14,339293;0;14,447019;0;14,373408;0;12,905763;0;13,042172;0;14,220227;0;14,200592;0;13,825853;0;13,774479;0;13,195526;0;13,443203;0;13,787801;0;13,8589525;0;;;C29 H52 N13 O4 S;;678,3975;9,876004;;C29 H52 N13 O4 S;28;Esi+;
C14 H23 N11 O9;-466,139;-8,864616;466,139;down;-466,139;-8,864616;466,139;down;-466,139;-8,864616;466,139;down;-1,027736;-0,03946972;1,027736;down;-1,1948798;-0,2568655;1,1948798;down;-1,1496866;-0,20124054;1,1496866;down;-1,1352237;-0,18297672;1,1352237;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,907835;0;17,587938;0;17,855532;0;17,56563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,671022;0;17,310604;0;17,961546;0;17,657326;0;17,799143;0;17,502125;0;17,351086;0;17,157316;0;17,102448;0;17,468401;0;17,120317;0;17,050327;0;17,37448;0;17,099634;0;17,970167;0;17,624195;0;17,033218;0;16,679424;0;17,72931;0;17,418932;0;17,567028;0;17,285511;0;17,248827;0;16,930079;0;;;C14 H23 N11 O9;;489,1677;1,2509998;;C14 H23 N11 O9;28;Esi+;
C25 H55 N14 O9;-397,29703;-8,634074;397,29703;down;-397,29703;-8,634074;397,29703;down;-397,29703;-8,634074;397,29703;down;-1,0524039;-0,07368851;1,0524039;down;1,0875418;0,12107086;1,0875418;up;-1,128;-0,17376709;1,128;down;-1,1107492;-0,15153313;1,1107492;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,362955;0;16,98102;0;17,536385;0;17,192234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,740887;0;17,383595;0;17,014708;0;16,741297;0;17,093676;0;16,750471;0;17,819723;0;17,421316;0;17,329464;0;17,775103;0;17,3855;0;17,32564;0;17,681046;0;17,344538;0;16,619331;0;16,321188;0;17,545921;0;17,196016;0;17,275461;0;16,900726;0;16,878483;0;16,570196;0;17,231728;0;16,93391;0;;;C25 H55 N14 O9;;695,4268;9,875;;C25 H55 N14 O9;28;Esi+;
C28 H61 N7 O15;-366,27023;-8,516765;366,27023;down;-366,27023;-8,516765;366,27023;down;-366,27023;-8,516765;366,27023;down;-1,0403719;-0,057099342;1,0403719;down;1,1219704;0,1660347;1,1219704;up;-1,0864173;-0,11957836;1,0864173;down;-1,0750291;-0,10437584;1,0750291;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,12728;0;16,767836;0;17,331478;0;16,907524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,622295;0;17,222181;0;16,767525;0;16,458424;0;16,929073;0;16,516485;0;17,650175;0;17,282166;0;17,170883;0;17,633888;0;17,240028;0;17,192871;0;17,546412;0;17,208368;0;16,45645;0;16,196352;0;17,410187;0;17,114506;0;17,13233;0;16,793196;0;16,721527;0;16,39846;0;17,08682;0;16,816322;0;;;C28 H61 N7 O15;;735,4206;9,819;;C28 H61 N7 O15;28;Esi+;
AMP(2-);-607,573;-9,246914;607,573;down;-607,573;-9,246914;607,573;down;-607,573;-9,246914;607,573;down;-1,0771333;-0,10719681;1,0771333;down;-1,0460521;-0,06495476;1,0460521;down;-1,0034128;-0,004915237;1,0034128;down;-1,0315816;-0,04485798;1,0315816;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,511578;0;18,491121;0;18,508457;0;18,464155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,67576;0;18,545357;0;17,14032;0;18,318539;0;18,550453;0;18,44617;0;18,248026;0;18,317152;0;18,329424;0;18,45978;0;18,361532;0;18,349644;0;18,474695;0;18,371088;0;18,601341;0;18,45538;0;18,486576;0;18,392694;0;18,581913;0;18,469109;0;18,479342;0;18,394588;0;18,287996;0;18,211721;0;;;AMP(2-);C00020;347,0614;1,6609995;HMDB00045;C10 H14 N5 O7 P;28;Esi+;
C15 H15 N O3;-1;0;1;down;-1;0;1;down;-1;0;1;down;4,62427;2,2092257;4,62427;up;218,32346;7,7703233;218,32346;up;3,1159782;1,6396852;3,1159782;up;28,61906;4,8389044;28,61906;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,515823;0;12,994884;0;0;0;0;0;0;0;0;0;15,341415;0;14,774992;0;15,084932;0;17,104128;0;16,786959;0;16,715279;0;14,310683;0;14,206785;0;13,117481;0;0;0;0;0;0;0;15,40118;0;14,870894;0;14,026696;0;13,768081;0;0;0;0;0;;;C15 H15 N O3;;257,1043;10,296999;;C15 H15 N O3;15;Esi+;
C29 H59 N14 O11;-350,11496;-8,451685;350,11496;down;-350,11496;-8,451685;350,11496;down;-350,11496;-8,451685;350,11496;down;-1,0559572;-0,07855129;1,0559572;down;1,0799053;0,11090469;1,0799053;up;-1,0854338;-0,11827183;1,0854338;down;-1,0771838;-0,10726452;1,0771838;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,02487;0;16,673847;0;17,159822;0;16,75494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,252417;0;16,920969;0;16,687225;0;16,424068;0;16,737103;0;16,455809;0;17,430935;0;17,031809;0;16,910536;0;17,354439;0;17,082325;0;16,964804;0;17,277542;0;16,94905;0;16,462965;0;16,086987;0;17,17356;0;16,943796;0;16,936695;0;16,624039;0;16,739426;0;16,415113;0;16,849588;0;16,568193;0;;;C29 H59 N14 O11;;779,4469;9,979003;;C29 H59 N14 O11;28;Esi+;
